,**Skills**,**LangChain ecosystem**,**Search2o**
**Discovery / selection**,LLM selects the relevant skill from its description.,Not built in; the application must know or determine which graph/agent to invoke.,Search matches the user's request to the right agent.
**Primary abstraction**,Instructions + resources.,Executable graph / workflow.,Searchable agents defined in JSON with 23 built-in commands.
**Who determines the workflow?**,The LLM interprets the skill and dynamically determines how to carry out the task.,The developer explicitly programs the workflow.,The developer defines a predefined executable workflow.
**Control flow**,Primarily natural-language instructions interpreted by the LLM.,"Explicit Python/JS graph, nodes, edges, and state.",Explicit commands and Python expressions within the agent.
**LLM role**,"Central orchestrator: selects skills, interprets instructions, and determines execution.",Used by whichever graph nodes require LLM reasoning.,Used only where the predefined agent requires it.
**Runtime flexibility**,Very high; the effective workflow can change from one execution to another.,"Developer controls the overall structure, though nodes and routing can themselves be agentic.","Workflow is predefined; Tools, prompts, LLMs, branching decisions can vary at runtime."
**Determinism**,Lowest of the three.,High where graph logic is deterministic.,High; execution follows the published workflow.
**Execution overhead**,"On each request, the LLM must select the skill, interpret its instructions, and determine the workflow.",Executes an already-defined graph.,"None. Search typically selects the agent within hundreds of milliseconds, then executes the published agent."
**Dynamic interaction between skills / agents**,"Multiple skills can be used within the same task, with the LLM deciding which skills to load and how to combine them.","Multiple agents or subgraphs can interact, but the handoff and coordination model is designed by the developer.",Agents can dynamically build on each other in a conversation.
**State / conversation**,Depends on the host agent.,Explicit graph state and persistence.,Conversation state is automatically encrypted and stored in the cloud.
**Durable execution / checkpointing**,Host-dependent.,Built in.,Built in.
**Human interaction during execution**,LLM/host dependent.,Human-in-the-loop and interrupts are first-class concepts.,Human-in-the-loop and interrupts are first-class concepts with full UI integration.
**Development environment**,Usually files edited with normal development tools.,Python/JS development using LangChain/LangGraph libraries and tooling.,"Built-in agent development environment for creating, tracing and validating agents."
**Publishing**,Distribution depends on the host ecosystem.,Application deployment is separate from graph development.,Publishing is part of the platform.
**Organization-wide discovery**,Depends on the host product.,Must be designed and implemented by the application.,"Once a description is published for an agent, it is automatically discovered through search."
**End-user UI**,Not part of the Skills standard; supplied by the host product.,Not part of the LangGraph runtime; the application normally supplies its own UI.,"Built in. Search, execution, streaming results, conversations, follow-ups."
**APIs / databases / MCP / LLM configuration**,Usually encoded in skill instructions or supplied by the hosting agent.,Defined in application code/configuration and integration libraries.,"Central profiles for APIs, databases, MCP servers, LLMs, and prompts; agents refer to them by name."
**Administrative functions / UI**,Not part of the Skills standard; depends on the host product.,"LangSmith provides administration for the LangChain/LangGraph platform, but application-level administration is largely left to the developer.","Built in. Authentication, configuration, and an audit trail showing who changed what are part of the platform."
**Observability / reports**,Host-dependent.,"LangSmith provides tracing, evaluation, and observability.","Built-in reports for agent performance, failures, LLM cost, and usage."
**Deployment architecture**,Runs wherever the hosting agent runs.,LangGraph application/runtime must be deployed; the LangGraph Platform provides managed deployment.,Hybrid architecture. Stateless agent servers that run inside the organization backed by Search2o Cloud.
**Infrastructure burden**,Very little for the skill itself; the host bears the runtime infrastructure.,"You operate the application/runtime stack, including persistence and other supporting infrastructure where required.",None. You just run the stateless agent application server(s).
**Portability**,Strong; Skills are an open format intended to work across compatible agents.,Application code is substantially tied to LangChain/LangGraph APIs.,Agents are Search2o-specific.
**Development effort**,Lowest for tasks that can reliably be expressed as instructions.,Highest; essentially custom application development.,Medium. AI assist feature can generate an agent from a prompt. Developer uses the integrated intellisense editor to complete it.
**Best suited for**,Giving a general-purpose LLM reusable procedures and specialized knowledge.,Building custom agentic applications with complex state and execution requirements.,Enterprise agentic platform.
**Best analogy**,A playbook handed to an intelligent employee.,A workshop for building custom automated systems.,A company-wide command center for specialized operators.
