id,group,section,where,finding,current text on the page,suggested fix,your decision
1,A,A. Wrong or self-contradictory,docsrc/profiles/api-profiles.html:6,"docsrc/profiles/api-profiles.html:6 — ""Headers set on the command are added to the profile's headers. Where both set the same header, the profile's value wins."" — VERIFIED wrong (search2o commands/api.py merge_headers): a command header replaces a profile header only when the profile marks that header `override`, otherwise the call fails; a new header is added only when the profile's `canAddHeaders` is on, otherwise the call fails.","docsrc/profiles/api-profiles.html:6: The URL and the header values are dynamic strings, so credentials can come from sys.secret instead of being stored in the profile. Headers set on the command are added to the profile's headers. Where both set the same header, the profile's value wins.","Rewrite to the three rules from the code: a command header replaces a profile header only when the profile marks that header override, otherwise the call fails; a header the profile does not have is added only when the profile allows adding headers, otherwise the call fails.",yes
2,A,A. Wrong or self-contradictory,docsrc/agent-definition/python-expressions.html:63,"docsrc/agent-definition/python-expressions.html:63 — refused example ""four nested list comprehensions"" — VERIFIED wrong: the check refuses depth > 4, so four is allowed; the example should be five.",docsrc/agent-definition/python-expressions.html:63: Deep comprehensionsfour nested list comprehensionsThe account sets the limits. The defaults are a depth of 4 and 3 for clauses.,Change the refused example to 'five nested list comprehensions' (four is allowed by the default of 4).,yes
3,A,A. Wrong or self-contradictory,docsrc/search/search-quality.html:31,"docsrc/search/search-quality.html:31 — ""The easiest and hardest catalogues here are seven points apart, and both are 100-agent catalogues"" — VERIFIED against the page's own tables: seven points is right (91.0 vs 83.8) but the easiest, the university, is a 50-agent catalogue.","docsrc/search/search-quality.html:31: The spread between catalogues is larger than the spread between any settings we tried. The easiest and hardest catalogues here are seven points apart, and both are 100-agent catalogues. What separates them is how distinct their agents are from one another, which is something you control when you write your agents, not something search can fix afterwards. Describing an agent covers what makes a description distinct.","Drop 'and both are 100-agent catalogues' (the university has 50 agents), or say 'the 100-agent catalogues at the top and bottom are five points apart'.",Drop both are 100 agent
4,A,A. Wrong or self-contradictory,"docsrc/introduction/why-not-python.html:7; docsrc/introduction/what-is-search2o.html:11; docsrc/runtime/overview.html:33,34,35,36","docsrc/introduction/why-not-python.html:7 — ""Administrators set limits once ... Developers write only the agent logic"" vs what-is-search2o.html:11 and runtime/overview.html:33-36, where the allowlist, compile rules and runtime limits are the Developer role's. (Ram's md.)","docsrc/introduction/why-not-python.html:7: Administrators set limits once. Every agent obeys them. Developers write only the agent logic.
docsrc/introduction/what-is-search2o.html:11: Execution is controlled. The Python expressions in an agent run in a controlled runtime, governed by the allowlist, the compile rules and the runtime limits that developers set.
docsrc/runtime/overview.html:33: AllowlistGuardrails › AllowlistDeveloper
docsrc/runtime/overview.html:34: System variablesGuardrails › AllowlistDeveloper
docsrc/runtime/overview.html:35: Compile rulesGuardrails › Compile rulesDeveloper
docsrc/runtime/overview.html:36: Runtime limitsGuardrails › RuntimeDeveloper",Say who sets the guardrails. If developers: 'Developers set limits once. Every agent obeys them.' If administrators: change what-is-search2o.html:11 and the runtime overview instead.,Developers set it
5,A,A. Wrong or self-contradictory,docsrc/commands/end.html:20; docsrc/commands/llm.html:49,"docsrc/commands/end.html:20 ""`end` is not allowed in a function offered to the LLM as a tool"" vs commands/llm.html:49 ""`end` is best avoided inside a tool function"" — rule on one page, advice on the other.","docsrc/commands/end.html:20: end is not allowed in a function that is offered to the LLM as a tool, nor in any function called from such a function. A tool must return to the model, not end the agent.
docsrc/commands/llm.html:49: end is best avoided inside a tool function. A tool must return to the model.",Make llm.html:49 a rule: 'end is not allowed inside a tool function; a tool must return to the model.',yes
6,A,A. Wrong or self-contradictory,docsrc/commands/progress.html:8; docsrc/commands/progress.html:10; docsrc/commands/index.html:3,"docsrc/commands/progress.html:8,10 — the example has two keys both named `""progress""` in one block; commands/index.html:3 says a repeated command needs a suffix (`progress.2`).","docsrc/commands/progress.html:8: ""progress"": ""{ f'Got your location: {location['city_name']}, {location['region_name']}' }"",
docsrc/commands/progress.html:10: ""progress"": ""Found the weather for the next 8 hours""
docsrc/commands/index.html:3: A command can appear more than once in a function. Add a suffix to the key: api, api.2, api.fetchWeather. The suffix is only a name. Commands run in the order they are written.",Rename the second key 'progress.done' (or 'progress.2') in the example.,yes
7,A,A. Wrong or self-contradictory,docsrc/development/draft-with-ai.html:10; docsrc/development/trace-and-validation.html:38,"docsrc/development/draft-with-ai.html:10 — ""An `ask` that always runs could never finish validation, so the AI guards it"" vs trace-and-validation.html:38 (an ask during validation pauses the run; fill in the form to continue). (From ai_assist.md.)","docsrc/development/draft-with-ai.html:10: An ask that always runs could never finish validation, so the AI guards it.
docsrc/development/trace-and-validation.html:38: If the agent reaches an ask command, the run pauses and the form the user would see appears in the panel. This is not a failure: fill in the form and submit it to continue the run.","Replace with the fact from the validation page: an ask during validation pauses the run, and the developer answers it in the GUI. Say what Draft with AI does about asks, if anything, or drop the sentence.",yes
8,A,A. Wrong or self-contradictory,docsrc/development/draft-with-ai.html:18; docsrc/runtime/allowlist.html:1; docsrc/runtime/allowlist.html:22,"docsrc/development/draft-with-ai.html:18 — ""Expressions call only the names on the allowlist, plus the built-in types"" vs allowlist.html:1,22 (builtins are not available; a builtin type is itself an allowlist entry).","docsrc/development/draft-with-ai.html:18: Expression allowlistExpressions call only the names on the allowlist, plus the built-in types. If your request needs a function that is not there, the AI leaves that value empty and says the function must be added to the allowlist first.
docsrc/runtime/allowlist.html:1: The allowlist is the complete set of names that an agent's Python expressions may use. Expressions do not get Python's builtins; the allowlist takes their place, so a name that is not on the allowlist does not exist for an agent, and an expression that uses it is refused before the agent ever runs. The allowlist applies to every agent in the account, and developers edit it in the GUI under Guardrails.
docsrc/runtime/allowlist.html:22: A builtin typestrstr(5)",Delete 'plus the built-in types'.,
9,A,A. Wrong or self-contradictory,docsrc/development/draft-with-ai.html:23; docsrc/development/trace-and-validation.html:8,"docsrc/development/draft-with-ai.html:23 — ""an invented query would pass validation and publish, then fail against a table that does not exist"" — validation is a real run (trace-and-validation.html:8), so it fails at validation.","docsrc/development/draft-with-ai.html:23: What it has never seen. Your database, your API and your MCP tools are outside the AI's view, so it never writes SQL, URL paths, request parameters or tool arguments. It puts the command in the right place, leaves those fields empty, and adds a comment saying what belongs there. An empty field with a comment takes a moment to fill in; an invented query would pass validation and publish, then fail against a table that does not exist.
docsrc/development/trace-and-validation.html:8: A real run. The agent runs against the draft's validation query, exactly as it would for a user, with tracing on, so that every step is visible.","Say: an invented query fails at validation (a real run) - the reader still has to fill it in, which is the point of the paragraph.",
10,A,A. Wrong or self-contradictory,docsrc/runtime/overview.html:8; docsrc/runtime/overview.html:24; docsrc/runtime/compile-rules.html:1; docsrc/runtime/compile-rules.html:35,"docsrc/runtime/overview.html:8,24 (""live on the very next run"") vs runtime/compile-rules.html:1,35 (rules apply only at validation/publishing; a changed rule does not touch a published agent). The overview needs the qualifier.","docsrc/runtime/overview.html:8: the runtime limits and the compile rules;
docsrc/runtime/overview.html:24: A change is therefore live on the very next run, on every server, and two servers starting the same agent at the same moment run with the same runtime. Only the changed pieces are rebuilt. A new allowlist is resolved when the allowlist changes. Connection pools are reopened when the pools change, database engines when a database profile changes, and LLM connections when an LLM profile or the allowlist changes.
docsrc/runtime/compile-rules.html:1: The compile rules decide what an expression may contain: for each of the ten binary operators, whether an expression may use the operator as Python does, may not use the operator at all, or has the operator replaced by a function of your own; how deep a comprehension may go; and the shapes of expression that are never allowed. Search2o Cloud applies the rules only when a draft is validated or published. A changed rule does not touch an agent that is already published. Developers edit the rules in the GUI under Guardrails.
docsrc/runtime/compile-rules.html:35: The rules are applied to a draft, at validation and at publishing, and at no other time. A published agent keeps the rules the agent was published under. A changed rule reaches that agent only when a developer creates a draft from the agent and publishes the draft again.",Add to the overview: 'The compile rules are the exception: a changed rule applies when a draft is next validated or published.',
